Wall time,Step,Value
1574441107.3071327,62019,1056.9287109375
1574441107.3076444,62027,658.495849609375
1574441107.3084984,62041,1195.7918701171875
1574441107.308559,62042,1221.2391357421875
1574441107.308862,62047,882.9110717773438
1574441107.3091655,62052,664.8471069335938
1574441131.7351677,63006,903.2672119140625
1574441131.7361698,63018,867.0023803710938
1574441131.737189,63035,1038.0751953125
1574441131.7373087,63037,1111.3863525390625
1574441131.7374287,63039,954.587646484375
1574441131.7376096,63042,1157.63134765625
1574441131.7379107,63047,804.6184692382812
1574441155.8907616,64011,892.2089233398438
1574441155.8910656,64016,881.269287109375
1574441155.892465,64038,1102.13232421875
1574441155.8926451,64041,1378.956787109375
1574441155.8929443,64046,1361.34619140625
1574441180.649951,65000,1077.0877685546875
1574441180.650024,65004,1095.03662109375
1574441180.650059,65006,875.9127807617188
1574441180.650448,65012,882.7030639648438
1574441180.6505096,65013,806.8985595703125
1574441180.6510074,65019,991.17041015625
1574441180.6514635,65026,1143.1287841796875
1574441180.6518776,65032,989.2008666992188
1574441180.6520646,65035,1129.7913818359375
1574441180.653126,65052,581.0013427734375
1574441205.7036703,66001,1071.6710205078125
1574441205.7047672,66011,862.3200073242188
1574441205.7049565,66014,1235.683837890625
1574441205.7050788,66016,863.3455200195312
1574441205.7054172,66021,857.30517578125
1574441205.7064612,66037,984.3007202148438
1574441205.7065916,66039,901.876708984375
1574441205.7069795,66045,924.5720825195312
1574441205.707237,66049,1128.8427734375
1574441205.7073665,66051,777.0354614257812
1574441230.7114143,67012,967.7611694335938
1574441230.712523,67029,1030.212646484375
1574441230.7132885,67041,933.2807006835938
1574441230.7137923,67048,1180.656005859375
1574441230.7138565,67049,882.0819091796875
1574441255.1826923,68014,1047.6201171875
1574441255.182812,68016,968.6876220703125
1574441255.1829312,68018,855.1851196289062
1574441255.183108,68021,1117.69189453125
1574441255.183284,68024,1070.48388671875
1574441255.1843474,68041,955.19921875
1574441255.1850028,68052,615.9595947265625
1574441280.4488106,69000,874.0632934570312
1574441280.448918,69006,861.8043823242188
1574441280.4496055,69013,1097.4510498046875
1574441280.4510932,69037,953.2037963867188
1574441280.4514582,69043,1151.3505859375
1574441280.4516199,69045,849.20068359375
1574441305.7144446,70013,973.34375
1574441305.7146263,70016,1138.92431640625
1574441305.7148669,70020,916.134765625
1574441305.7149277,70021,841.6907348632812
1574441305.714987,70022,1041.3260498046875
1574441305.7153442,70028,1175.8758544921875
1574441305.7155223,70031,1099.281494140625
1574441305.7157247,70033,968.5905151367188
1574441305.7162673,70042,942.2207641601562
1574441305.7167141,70049,1319.5191650390625
1574441330.9226,71009,1120.12158203125
1574441330.9228497,71013,909.3567504882812
1574441330.9230886,71017,1243.4237060546875
1574441330.9238746,71030,797.51904296875
1574441330.923992,71032,1022.9697875976562
1574441330.9241683,71035,1151.622802734375
1574441330.9248738,71047,1142.576904296875
1574441330.925109,71051,961.2113037109375
1574441355.7995071,72003,1028.0616455078125
1574441355.799542,72005,1021.419189453125
1574441355.8003612,72015,920.9736328125
1574441355.800482,72017,1160.936279296875
1574441355.8006024,72019,954.2153930664062
1574441355.8014948,72032,985.3666381835938
1574441355.8024652,72048,872.089111328125
1574441380.2708578,73000,971.5855712890625
1574441380.2709801,73007,986.9895629882812
1574441380.2727153,73032,847.462890625
1574441380.2727752,73033,809.6700439453125
1574441380.272835,73034,1079.698974609375
1574441380.2732553,73041,1191.27734375
1574441380.2738543,73051,1132.7484130859375
1574441405.7505143,74006,1013.5858154296875
1574441405.7511742,74013,1161.7615966796875
1574441405.7515106,74017,989.988037109375
1574441405.752209,74028,952.2227172851562
1574441405.752589,74034,1227.4036865234375
